t_s,muestra,modo_decision,pose_fuente,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion,bloqueo_contador
0.064,1,kalman,supervisor,17,4,0,0.12199,12,0,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.21577,-1.13847,1.48597,66.823,4.729,-4.729,GIRAR_A_WAYPOINT,0
0.128,2,kalman,supervisor,17,4,0,0.122,12,0,67.792,67.068,71.729,70.236,67.43,67.127,66.876,0.07563,1.66387,0.30144,-0.29516,6.4e-05,0.00101,-3.67497,-1.21577,-1.13847,1.27121,66.876,3.857,-3.857,GIRAR_A_WAYPOINT,0
0.192,3,kalman,supervisor,17,4,0,0.122,12,0,69.651,65.048,62.721,69.746,67.349,67.201,66.924,0.10071,2.21572,0.54636,-0.54008,-0.0,-0.0,-3.01734,-1.21577,-1.13847,1.09129,66.924,3.127,-3.127,GIRAR_A_WAYPOINT,0
0.256,4,kalman,supervisor,17,4,0,0.122,12,0,62.823,70.805,64.972,63.387,66.814,67.104,66.91,0.12055,2.65216,0.74732,-0.74104,0.0,0.0,-2.47577,-1.21577,-1.13848,0.9477,66.91,2.544,-2.544,GIRAR_A_WAYPOINT,0
0.32,5,kalman,supervisor,17,4,0,0.122,12,0,72.76,64.941,63.731,64.206,68.85,67.453,67.174,0.13563,2.98394,0.9106,-0.90432,0.0,0.0,-2.01156,-1.21577,-1.13848,0.83196,67.174,2.074,-2.074,GIRAR_A_WAYPOINT,0
0.384,6,kalman,supervisor,17,4,0,0.122,12,0,66.838,59.887,57.399,69.27,63.362,66.761,66.614,0.14676,3.22862,1.04248,-1.0362,0.0,0.0,-1.62472,-1.21577,-1.13848,0.73912,66.614,1.697,-1.697,GIRAR_A_WAYPOINT,0
0.448,7,kalman,supervisor,17,4,0,0.122,12,0,67.056,64.992,71.894,67.641,66.024,66.48,66.523,0.15478,3.40509,1.14924,-1.14296,0.0,0.0,-1.31525,-1.21577,-1.13849,0.66401,66.523,3.587,0.803,SEGUIR_RUTA,1
0.512,8,kalman,supervisor,17,4,0,0.11939,12,0,71.162,72.535,67.127,54.668,71.849,67.38,67.669,0.16047,3.5303,1.3816,-1.09272,0.002897,0.04526,-1.12183,-1.21357,-1.13683,0.59987,67.669,3.357,1.033,SEGUIR_RUTA,0
0.576,9,kalman,supervisor,17,4,0,0.11667,12,0,70.143,68.788,61.354,64.642,69.465,67.91,68.249,0.16446,3.61814,1.59512,-1.02992,0.002832,0.04425,-0.92841,-1.21121,-1.13528,0.54876,68.249,3.175,1.215,SEGUIR_RUTA,0
0.64,10,kalman,supervisor,17,4,0,0.11393,12,0,63.284,63.746,74.12,70.782,63.515,66.843,67.747,0.16724,3.67925,1.79608,-0.94828,0.002897,0.04526,-0.73499,-1.20879,-1.13386,0.50553,67.747,3.022,1.368,SEGUIR_RUTA,0
